otu.id,R_M2,R_P2,R_A2,R_M3,R_P3,R_A3,R_M4,R_P4,R_A4,R_M1,R_P1,R_A1
FOtu0373,0,82,9,0,30,2,8,1,0,10,0,1
AOtu0107,0,68,64,0,0,0,0,0,0,10,0,0
FOtu0342,36,6,8,2,7,2,11,2,10,9,19,28
FOtu0340,0,29,17,5,1,0,10,38,32,1,3,1
FOtu0318,4,15,0,8,1,4,15,51,6,7,11,14
BOtu0214,37,42,14,0,7,1,0,6,18,8,0,0
BOtu0219,16,21,57,0,0,7,0,4,18,2,7,0
BOtu0224,10,29,48,9,1,0,0,2,0,29,4,0
BOtu0171,0,5,8,1,17,0,0,1,0,64,31,2
BOtu0039,17,29,1,3,0,5,8,6,53,0,3,0
FOtu0209,0,4,102,9,0,0,4,2,0,4,0,0
FOtu0364,39,0,0,0,0,0,0,0,0,20,33,32
FOtu0400,8,10,68,0,0,0,3,1,0,31,2,1
BOtu0157,10,2,54,10,15,3,0,23,1,1,3,1
BOtu0165,0,41,22,0,3,0,6,29,8,14,0,0
AOtu0109,0,0,0,0,32,21,1,41,17,0,1,10
BOtu0232,0,56,37,1,4,0,6,10,0,7,0,0
FOtu0288,0,35,2,0,0,0,0,3,0,78,0,0
FOtu0376,31,17,14,1,0,0,0,8,8,13,26,0
BOtu0222,1,4,15,7,12,1,0,0,0,14,34,30
FOtu0381,0,2,23,0,0,0,12,79,1,1,0,0
BOtu0076,0,0,0,97,2,1,5,8,4,0,0,0
BOtu0211,5,46,18,0,0,22,17,4,5,0,0,0
BOtu0043,0,3,3,0,0,0,0,0,0,9,100,0
FOtu0315,1,31,26,0,1,8,7,4,5,24,2,3
BOtu0192,17,15,10,7,2,0,0,17,1,31,11,0
FOtu0301,12,11,4,0,4,9,11,4,26,10,7,12
FOtu0405,0,46,14,9,6,3,6,1,2,18,4,0
FOtu0434,2,31,10,1,33,2,5,8,1,14,2,0
AOtu0119,38,1,0,0,0,0,0,17,0,0,4,46
FOtu0444,3,15,11,1,27,5,11,6,2,16,7,1
FOtu0450,0,10,24,0,30,2,1,1,6,27,2,1
AOtu0103,6,9,2,1,3,1,0,12,0,0,46,22
BOtu0231,9,7,18,11,5,4,10,16,2,13,6,0
BOtu0208,4,17,0,14,21,5,5,17,1,10,6,0
FOtu0459,0,2,13,9,3,1,8,36,22,4,1,1
