otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
FOtu0115,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Lapidomyces,Lapidomyces
FOtu0116,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0117,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma
FOtu0118,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola
FOtu0120,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0121,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0124,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
FOtu0126,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium,Rachicladosporium
FOtu0128,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Sistotrema,Sistotrema
FOtu0129,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,unclassified_Sporormiaceae,unclassified_Sporormiaceae
FOtu0130,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified,Pleosporales_unclassified
FOtu0131,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae_unclassified,Leptosphaeriaceae_unclassified
FOtu0132,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora
FOtu0133,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unclassified_Chaetothyriales,unclassified_Chaetothyriales,unclassified_Chaetothyriales
FOtu0134,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0138,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified,Microbotryomycetes_unclassified
FOtu0139,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiales_unclassified,Leucosporidiales_unclassified,Leucosporidiales_unclassified
FOtu0142,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae_unclassified,Leptosphaeriaceae_unclassified
FOtu0143,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae_unclassified,Leptosphaeriaceae_unclassified
FOtu0146,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unclassified,Phaeosphaeriaceae_unclassified
FOtu0147,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Chaetosphaeronema,Chaetosphaeronema
FOtu0149,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0152,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0153,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Neocamarosporium,Neocamarosporium
