OTU,family,genus,species
F.Otu0078,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
A.Otu0032,Chlorophyceae,,
A.Otu0033,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
A.Otu0034,Chlorellaceae,Pseudochlorella,Pseudochlorella_pyrenoidosa
F.Otu0094,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0096,Parmeliaceae,Parmeliaceae,Parmeliaceae_unclassified
F.Otu0072,Dothioraceae,Perusta,Perusta
B.Otu0055,Ruminococcaceae,Faecalibacterium,Faecalibacterium
A.Otu0028,Trebouxiaceae,Trebouxia,Trebouxia_sp
A.Otu0037,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
A.Otu0038,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_callunae
F.Otu0105,Hyaloscyphaceae,Hyaloscyphaceae,Hyaloscyphaceae_unclassified
B.Otu0053,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0107,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0093,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0108,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0109,Helotiaceae,Helotiaceae,Helotiaceae_unclassified
F.Otu0079,Chaetothyriales_unclassified,Chaetothyriales,Chaetothyriales_unclassified
F.Otu0113,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0112,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0052,Dothideaceae,Celosporium,Celosporium
F.Otu0049,Didymellaceae,Didymella,Didymella
F.Otu0119,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0122,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0038,Bacillaceae,Bacillaceae_unclassified,Bacillaceae_unclassified
F.Otu0127,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0042,Haematococcaceae,Balticola,Balticola_sp
A.Otu0046,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
A.Otu0044,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
B.Otu0019,Chitinophagaceae,uncultured,uncultured
A.Otu0048,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu0135,Microbotryomycetes_ord_Incertae_sedis_uc,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis_uc
F.Otu0136,Helotiaceae,Fontanospora,Fontanospora
F.Otu0006,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0059,Acetobacteraceae,Acetobacteraceae_unclassified,Acetobacteraceae_unclassified
